Grid mode: 250 periods in [0.1, 200] yr, 5 Iterations each, Mass Constrain = True
Total Mass Fractional Acceptance = 0.3, Best Cost Accept Factor = 1.5
  [131/250] P =   104.47 yr, a" = 10.021  e = 0.500, M = 1.695 Msun  cost = 0.0005369576934304709
  [132/250] P =   105.27 yr, a" = 10.068  e = 0.501, M = 1.693 Msun  cost = 0.0005434160081461412
  [133/250] P =   106.07 yr, a" = 10.115  e = 0.502, M = 1.691 Msun  cost = 0.0005498341230221439
  [134/250] P =   106.87 yr, a" = 10.162  e = 0.504, M = 1.689 Msun  cost = 0.000556211975728286
  [135/250] P =   107.68 yr, a" = 10.209  e = 0.505, M = 1.687 Msun  cost = 0.0005625495327585417
  [136/250] P =   108.48 yr, a" = 10.256  e = 0.506, M = 1.685 Msun  cost = 0.0005688467804046132
  [137/250] P =   109.28 yr, a" = 10.303  e = 0.507, M = 1.683 Msun  cost = 0.0005751037356413058
  [138/250] P =   110.09 yr, a" = 10.350  e = 0.508, M = 1.682 Msun  cost = 0.0005813204323163494
  [139/250] P =   110.89 yr, a" = 10.397  e = 0.509, M = 1.680 Msun  cost = 0.0005874969256532094
  [140/250] P =   111.69 yr, a" = 10.443  e = 0.510, M = 1.678 Msun  cost = 0.0005936332906257938
  [141/250] P =   112.49 yr, a" = 10.490  e = 0.512, M = 1.677 Msun  cost = 0.0005997296155272715
  [142/250] P =   113.30 yr, a" = 10.537  e = 0.513, M = 1.675 Msun  cost = 0.0006057860109097962
  [143/250] P =   114.10 yr, a" = 10.583  e = 0.514, M = 1.674 Msun  cost = 0.0006118025982042683
  [144/250] P =   114.90 yr, a" = 10.630  e = 0.515, M = 1.672 Msun  cost = 0.000617779513716996
  [145/250] P =   115.70 yr, a" = 10.676  e = 0.516, M = 1.671 Msun  cost = 0.0006237169065785295
  [146/250] P =   116.51 yr, a" = 10.723  e = 0.518, M = 1.670 Msun  cost = 0.0006296149377739028
  [147/250] P =   117.31 yr, a" = 10.769  e = 0.519, M = 1.668 Msun  cost = 0.0006354737792230013
  [148/250] P =   118.11 yr, a" = 10.815  e = 0.520, M = 1.667 Msun  cost = 0.0006412936129447517
  [149/250] P =   118.92 yr, a" = 10.862  e = 0.521, M = 1.666 Msun  cost = 0.0006470746302661573
  [150/250] P =   119.72 yr, a" = 10.908  e = 0.522, M = 1.665 Msun  cost = 0.000652817030990407
  [151/250] P =   120.52 yr, a" = 10.954  e = 0.524, M = 1.663 Msun  cost = 0.000658521022859749
  [152/250] P =   121.32 yr, a" = 11.000  e = 0.525, M = 1.662 Msun  cost = 0.0006641868207309544
  [153/250] P =   122.13 yr, a" = 11.046  e = 0.526, M = 1.661 Msun  cost = 0.0006698146460457821
  [154/250] P =   122.93 yr, a" = 11.092  e = 0.527, M = 1.660 Msun  cost = 0.0006754047263063152
  [155/250] P =   123.73 yr, a" = 11.138  e = 0.528, M = 1.659 Msun  cost = 0.000680957294133776
  [156/250] P =   124.54 yr, a" = 11.184  e = 0.530, M = 1.658 Msun  cost = 0.0006864725875727588
  [157/250] P =   125.34 yr, a" = 11.230  e = 0.531, M = 1.657 Msun  cost = 0.0006919508487936976
  [158/250] P =   126.14 yr, a" = 11.276  e = 0.532, M = 1.656 Msun  cost = 0.0006973923240827522
  [159/250] P =   126.94 yr, a" = 11.321  e = 0.533, M = 1.655 Msun  cost = 0.0007027972632107605
  [160/250] P =   127.75 yr, a" = 11.367  e = 0.534, M = 1.654 Msun  cost = 0.0007081659192928509
  [161/250] P =   128.55 yr, a" = 11.412  e = 0.536, M = 1.654 Msun  cost = 0.0007134985481803953
  [162/250] P =   129.35 yr, a" = 11.458  e = 0.537, M = 1.653 Msun  cost = 0.0007187954082212852
  [163/250] P =   130.16 yr, a" = 11.503  e = 0.538, M = 1.652 Msun  cost = 0.0007240567599200853
  [164/250] P =   130.96 yr, a" = 11.549  e = 0.539, M = 1.651 Msun  cost = 0.0007292828656890979
  [165/250] P =   131.76 yr, a" = 11.594  e = 0.540, M = 1.650 Msun  cost = 0.0007344739893152216
  [166/250] P =   132.56 yr, a" = 11.639  e = 0.542, M = 1.650 Msun  cost = 0.0007396303961784214
  [167/250] P =   133.37 yr, a" = 11.685  e = 0.543, M = 1.649 Msun  cost = 0.0007447523525187461
  [168/250] P =   134.17 yr, a" = 11.730  e = 0.544, M = 1.648 Msun  cost = 0.0007498401254626024
